BIOCHEMICAL,SUPER PATHWAY,SUB PATHWAY,COMP ID,PLATFORM,CHEMICAL ID,RI,MASS,PUBCHEM,CAS,KEGG,                                      Group HMDB,2060,1046,1006,1076,1008,1050,1798,1056,1028,1799,1034,1042,1025,2085,1043,5023,1135,1124,5010,1149,1088,1115,1164,1165,1106,1107,2023,1155,1108,1157,1094,1133,1182,1256,1185,1198,1210,1218,1257,1270,1271,1200,1225,1249,1261,1214,1191,1203,1228,1240,1264,1207,1220,5063,1267,1281,1317,1284,1332,1321,1310,1346,1370,1299,1323,1347,1372,1313,1361,1363,1449,1389,1401,1379,1392,1454,1394,1406,1455,1444,1456,1397,1409,5067,1410,1460,1473,1536,1475,1488,1512,1538,1562,1517,1529,1553,5060,1554,5041,1556,1029,1557,1509,1534,1779,1515,1595,1608,1620,1644,1613,1576,1578,1639,2097,1744,1756,1888,1721,5008,1725,1778,1808,1862,1706,1875,1768,5047,1877,1803,1868,1842,5019,1833,1845,1934,1950,1937,1977,1914,1917,5026,1908,1905,1920,1944,5057,1985,2036,2061,2037,2063,1114,2067,1031,1129,2066,2019,2056,2057,1996,1120,1500,1797,5032,2020,2058,1412,1368,1463,1442,1331,1325,1416,1196,1366,1466,1373,5054,1419,1193,1469,1461,2026,1111,1011,1253,1123,5028,1316,5030,1067,1636,5006,1599,1598,1626,5018,1192,1727,1632,1989,1278,1866,1822,5070,1964,1976,1766,5068,1903,2048,1695,1696,1990,2005,2052,5065,2077,1991
(12 or 13)-methylmyristate (a15:0 or i15:0),Lipid,"Fatty Acid, Branched",38293,LC/MS Neg,100002344,5499,241.2173,151014,2485-71-4,,,2.3306,3.3011,1.5328,0.4664,2.7029,1.9935,0.9536,0.3796,5.4054,0.444,0.6148,2.0311,0.6317,0.8461,0.3601,0.2897,1.3869,0.784,2.2504,0.5637,0.9194,0.5694,2.4162,1.8072,3.6507,0.3139,0.2065,0.7189,0.2821,1.8484,0.6677,1.6957,1.398,0.4232,0.8045,2.8892,1.899,1.1202,0.7282,0.3352,1.3379,0.7358,1.5146,1.2539,2.0929,1.7038,0.516,2.5554,0.6681,1.5196,1.564,0.4617,0.6143,0.4073,0.571,2.1228,0.8028,1.1245,1.8769,0.5408,2.1295,0.9619,0.5369,2.3117,0.5489,1.4334,0.1739,3.5462,1.8164,1.3047,0.9907,0.8977,5.4709,0.7072,1.0358,0.6529,1.0097,0.952,1.2712,2.7222,3.0942,0.157,0.6906,0.5586,0.9704,0.8573,1.66,0.3618,0.949,0.5614,1.0129,0.5598,0.8227,0.7958,1.3761,0.4145,2.4915,1.088,0.6376,3.0182,0.8439,0.3565,1.5479,0.496,1,0.9436,2.3465,0.3668,2.5796,0.9773,0.9015,1.9781,0.157,4.7208,1.3469,1.3886,1.4105,4.7104,1.5932,5.6589,1.6324,0.8837,1.0403,0.5298,0.9948,4.8713,0.2637,0.363,0.8972,0.157,0.5794,0.4061,0.3544,2.2641,0.9383,0.6698,0.8373,2.5676,1.158,1.8987,2.2277,0.8719,2.3754,0.3236,1.0743,1.2705,2.1246,2.3286,0.5274,0.6964,0.4341,1.0161,0.7411,0.5539,0.4541,0.6434,1.0581,0.418,3.6947,4.558,1.039,0.2338,0.5123,1.0668,0.1705,1.003,0.6265,0.799,1.5917,2.948,1.7817,1.5269,2.4906,3.2371,1.7376,0.4779,2.1674,1.7765,0.3018,2.1029,1.2541,0.9834,2.4985,0.157,1,2.0831,0.739,0.8345,0.157,0.762,1.1214,0.6303,0.3351,0.6796,0.7117,1.5709,0.5928,3.3659,0.8035,2.7528,2.6139,1.3965,1.531,2.2284,0.7277,1.8719,2.3968,3.2463,0.2409,2.5915,0.8058,3.1008,0.6499,0.8486,0.946,0.559,1.7848,1.1905,0.4692,1.5212
(14 or 15)-methylpalmitate (a17:0 or i17:0),Lipid,"Fatty Acid, Branched",38768,LC/MS Neg,100002945,5695,269.2487,,,,,1.7818,2.2994,1.2439,0.5232,1.879,1.8078,0.5399,0.281,3.9187,0.3754,0.9171,1.302,0.5977,0.7606,0.4144,0.2393,1.1707,0.9342,1.5105,0.9735,1.0812,0.5037,1.7098,0.7143,3.2998,0.4185,0.3254,0.5434,0.5598,1.7329,0.7126,1.0628,1.6062,0.2932,0.5971,1.6112,1.1372,0.8108,1.2721,0.3567,2.1238,0.5288,1.6332,0.9759,2.0387,1.7621,1.1533,1.6731,0.6135,1.2675,1.1235,1.0649,0.6775,0.4227,0.3395,1.894,0.6832,1.3592,1.3768,0.7011,1.5583,1.333,0.5835,1.1589,0.5177,1.5581,0.1644,2.3866,1.589,1.21,1.018,0.9373,2.2281,0.6989,0.8128,0.7621,0.816,0.816,0.6334,2.4357,1.884,0.2391,0.6243,0.556,0.8835,1,2.0653,0.6903,0.8161,0.8354,1.0209,0.3729,1.2742,0.4847,2.1634,0.5591,1.3046,1.1466,0.696,1.8697,1.0579,0.3163,0.9452,0.6664,0.7267,1.1972,1.8461,0.3166,1.7306,0.6373,1.336,1.2028,1.1266,2.2901,0.7775,1.5204,1.0722,4.3325,1.1921,3.157,1.4322,1.1011,1.2065,0.4525,0.7395,3.4657,0.2548,0.3185,0.9387,1.619,0.8365,0.4333,0.4317,1.7942,0.7304,0.6155,0.8551,2.2165,0.9254,1.9808,1.6609,0.7771,2.2859,0.3203,1.1828,1.6235,1.7116,1.9991,0.4605,0.7602,0.362,0.8791,0.6044,0.4229,0.4963,0.3315,0.8389,0.4,2.8034,2.8737,0.8569,0.3144,0.5241,1.3666,0.3388,0.6588,0.6625,1.2342,0.9939,1.8724,1.6316,1.1827,2.1922,2.1963,1.4017,0.4394,1.9869,1.0198,0.4153,1.8037,1.3421,1.0163,2.2037,2.1336,0.8989,2.7188,0.7095,0.5731,1.001,0.9204,0.7571,1.3384,0.4415,0.9973,0.3639,1.4566,0.7236,2.2593,0.7243,2.0039,2.2135,1.0209,0.9499,1.6606,0.8167,1.2675,2.9983,2.2431,0.2667,2.2714,0.8292,2.1422,1,0.9535,0.874,1.0233,1.251,0.7988,0.5462,1.395
(16 or 17)-methylstearate (a19:0 or i19:0),Lipid,"Fatty Acid, Branched",38296,LC/MS Neg,100002356,5993,297.2799,3083779,2724-59-6,,HMDB37397,1.7441,3.2545,1.2029,0.7787,1.8672,1.2539,0.5367,0.3946,2.6113,0.3352,0.8319,1.0783,0.7363,0.8761,0.4303,0.3779,1.0476,0.676,1.1102,0.8452,0.8905,0.453,1.7712,0.8007,2.7381,0.6098,0.4103,0.727,0.6509,1.3804,0.6854,1.1898,1.351,0.4564,0.8015,1.4901,1.1738,0.6634,1.0181,0.5885,2.2159,0.6741,1.0557,1.1584,1.1513,1.7445,1.4761,1.8405,1.1575,1.5249,0.8976,1.4803,0.7338,0.4703,0.4575,1.2824,0.5503,0.8261,1.2771,1.2514,1.4086,1.0614,0.4276,1.1208,1.0209,1.0736,0.3249,1.8929,1.2949,0.9057,0.8266,0.893,1.8837,0.8843,0.8275,0.7841,1.0576,1.1163,0.758,2.0168,1.1737,0.3864,0.3663,0.6926,0.9048,1.1628,1.5533,0.5676,0.868,0.9011,0.8065,0.5504,1.3209,0.4941,1.8552,0.7493,1.1905,1.0312,1.0104,1.5754,0.8271,0.5486,0.764,0.6797,0.8468,0.9404,1.9325,0.6052,1.8768,0.6976,1.2646,1.0469,0.8641,1.7703,0.5874,1.4098,0.8127,4.1168,0.834,2.0526,1.563,0.9513,1.2386,0.6079,0.9951,2.0543,0.4292,0.4965,0.8666,1.4921,0.7468,0.5382,1.0721,1.9519,0.8494,0.694,0.7506,1.3963,0.8533,1.3718,1.9214,0.6715,1.8446,0.4956,1.0086,1.3918,1.7364,1.6322,0.5818,0.7096,0.5277,1.3429,0.7858,0.5894,0.6325,0.4377,0.8551,0.6221,1.7179,1.8531,1.1661,0.7812,0.8701,1.0907,0.5598,0.5149,0.7905,1.5431,0.7229,1.5333,1.5559,1.587,1.6022,1.4382,1.2153,0.6906,1.2654,1.0412,0.6791,2.2483,0.7694,0.8592,1.5852,2.3765,1.0668,2.5741,1.1096,0.7062,1.1466,0.7242,0.8427,1.746,0.4484,0.9715,0.5055,1.1779,0.7318,2.8154,1.4176,1.5201,2.4042,0.8636,1.0247,1.628,0.7282,1.2519,2.1196,1.5718,0.3221,2.1839,0.6469,2.0717,1.0273,1,0.6975,0.9482,1.1169,1.1309,0.5766,1
(2 or 3)-decenoate (10:1n7 or n8),Lipid,Medium Chain Fatty Acid,63436,LC/MS Neg,100021502,4990,169.1234,,,,,0.8827,1.3968,0.9356,0.386,1.5963,2.1678,0.1521,0.1521,1.6429,0.4479,0.619,0.6925,1.0822,0.6869,0.1521,0.1521,0.6695,0.1521,1.2418,0.4435,1.4599,0.4435,1.8072,0.1521,4.5753,0.2678,0.5502,0.1521,1.0699,1.8377,0.5034,2.7245,1.0164,0.9246,0.2259,0.1521,1.4156,0.6766,1.0012,0.5703,1.2223,0.8451,0.6935,1.0141,1.9596,1.2962,1.7154,0.1521,0.7099,1.2024,1.4119,1.1404,0.1521,0.464,0.1521,3.8959,1.1983,0.3879,1.9018,0.8625,0.8213,1.6213,0.1521,0.6561,1.6801,0.6155,0.5093,2.0409,1.0087,0.9229,0.981,1.2661,1.8304,0.7721,0.1521,0.7768,0.3345,1.8926,0.6045,3.1048,1.2777,0.1521,0.1521,0.1521,0.6647,1.0692,1.5948,0.3896,0.3692,0.4187,1.0076,0.1687,2.1622,0.6569,1.9608,1,0.9627,0.7629,0.5346,1.5809,2.2673,0.4717,0.7311,0.8498,0.5383,1.3395,1.2653,0.1521,3.3668,0.4323,2.406,1.6352,1.2433,3.1465,0.1521,1.9466,1.4469,1.1477,1.6017,1.4905,1.1282,0.4995,0.5208,0.4482,0.835,1.2614,0.1521,0.7407,0.975,0.5672,1.2146,0.3274,0.215,0.7341,0.5364,0.872,0.6563,1.7123,1.6389,0.4693,0.1521,0.6916,2.7329,0.4746,1.3757,1.3545,2.0354,2.4034,0.1521,0.7752,0.3975,0.6984,0.3494,0.7323,0.5971,0.1573,1.4984,0.4577,0.9797,0.6875,1.7307,0.1521,0.2417,1.0868,0.1521,0.1521,0.1521,2.6358,1.0178,1.4373,2.2607,0.3781,1.1791,2.6077,0.9374,0.8017,1.4956,0.4514,1.5947,0.1521,0.9016,0.4962,3.7247,0.9988,1.7515,1.2084,0.7703,0.5572,1.0363,0.6489,1.3474,0.1521,0.1521,1.5707,0.2053,2.2071,0.2708,1.3259,0.457,1.2631,2.9413,0.5815,0.816,0.9958,0.3493,0.9172,1.8863,1.7303,0.1521,1.5374,0.1521,0.1521,1.4203,1.7449,1.4681,1.1563,1.718,1.0392,0.1521,0.9934
"(2,4 or 2,5)-dimethylphenol sulfate",Xenobiotics,Food Component/Plant,62533,LC/MS Neg,100020519,3474,201.0227,,,,,10.5054,7.7419,9.5175,1.7857,0.8012,0.4664,12.3412,2.2041,2.4541,2.6183,0.5137,34.2882,0.3348,0.3368,11.3948,0.8905,0.4342,0.7779,0.1548,0.6149,0.3149,0.0965,0.365,0.0965,0.8725,9.0319,0.4401,0.8387,0.0965,0.4951,4.2106,1.2569,5.2103,0.4788,0.0965,2.7287,9.2327,16.3145,0.0965,2.8483,8.8688,29.025,0.0965,0.4621,0.0965,5.9213,0.3353,0.0965,1.0402,9.3038,0.4057,2.071,2.9985,0.2695,0.1635,5.5437,1.0404,0.8808,2.3366,0.5902,0.3818,1.5976,0.3276,1.6185,5.2837,1.5523,5.5716,0.0965,18.1057,1.5066,1.1214,2.1381,1.2818,0.0965,0.2347,0.3842,16.6483,0.3185,0.9425,0.655,0.0965,4.4534,0.0965,0.5841,10.2447,3.9806,0.2713,1.2569,1.9828,7.1728,5.1115,0.1204,2.5028,0.0965,0.2103,0.5404,0.549,0.5601,0.3213,12.1938,0.495,7.8648,0.1548,0.4417,2.9539,0.4677,13.4707,2.4519,0.7069,9.6109,0.0965,0.7592,2.1646,5.0893,0.3729,12.1451,1.1084,0.0965,0.2018,0.6434,15.5204,0.2108,0.5764,0.9804,14.9822,0.1243,0.0965,3.7711,4.8954,1.678,6.3179,0.4123,0.4295,0.2446,0.6624,0.3116,8.1727,0.7755,0.5126,6.9321,0.1251,0.0965,1.1469,12.9296,1.8844,0.3894,1.9967,0.0965,3.139,2.8005,0.0965,7.5884,8.9598,18.8595,0.0965,0.3915,12.1551,12.706,3.8101,4.0552,8.7307,8.1912,0.188,1.0196,14.3152,0.26,0.298,0.4694,1.5837,0.3219,0.5386,7.5,0.8985,0.2995,0.3728,0.317,0.9596,0.8572,5.6179,0.6171,1.3915,0.9802,0.2133,0.6322,5.8061,0.0965,1.7375,4.9029,0.0965,4.7379,1.2487,0.1225,4.4907,0.0965,0.6071,0.5951,0.6629,0.5598,0.5739,2.3851,0.2122,0.5324,0.0965,8.3175,3.7087,0.1422,0.0965,0.6006,0.3511,0.6472,4.0257,0.3852,0.2529,0.6675,13.6809,0.1884,0.6336,0.0965,0.0965,0.2613
(2-butoxyethoxy)acetic acid,Xenobiotics,Chemical,63380,LC/MS Pos Early,100021457,3177,177.1121,106312,,,,2.5356,0.8401,0.7583,0.8792,1.1453,0.6643,1.7808,0.6325,0.7802,0.8271,3.5977,1.5878,0.9799,1.0343,1.2123,3.4681,1.1573,0.2567,0.7981,0.7998,0.8023,1.3153,3.2521,1.2441,4.1094,1.066,2.9421,0.779,3.8154,0.6484,0.2567,0.6425,0.3007,3.3239,0.7159,1.7832,1.006,1.0797,1.5166,1.5661,0.9084,0.6869,1.0381,3.2489,0.4104,0.4884,0.9654,0.8563,0.8359,0.8402,0.7302,1.0911,1.327,1.2785,1.5105,1.4217,1.0228,0.7527,0.7515,3.6658,1.4326,1.6813,1.595,2.181,12.8326,0.8141,1.4851,2.6469,0.9448,1.1324,0.9237,1.0047,4.0159,0.3078,0.4684,0.8833,0.8541,1.4968,1.0631,1.1567,1.7235,0.756,0.9105,1.0944,1.623,0.2567,1.1993,2.4237,0.5315,0.8721,1.2161,0.7402,0.8902,0.8676,1.3963,0.8826,0.6451,3.5374,0.6959,1.8947,0.8445,1.3212,0.4852,0.5677,1.3615,1.2179,1.3101,0.8284,1.1436,0.3321,0.5626,0.9347,0.8517,0.9937,1.1697,1.0508,1.3586,1.2106,0.6968,5.6267,1.0432,0.96,0.6784,1.111,0.6132,2.4845,0.9677,0.7013,1.1657,0.8128,1.576,0.7203,1.255,0.9509,2.244,5.3361,0.9158,45.5731,0.4078,2.4404,2.8524,0.9881,1,0.6151,0.9129,2.0264,0.994,0.7327,1.2283,0.7654,1.1069,0.9671,0.5416,0.9825,6.6288,1.269,1.6564,0.6207,1.8764,1.721,1.1859,0.3711,14.8663,0.8966,0.7266,0.5441,0.7468,1.5218,0.8636,0.2567,0.711,1.5688,1.0127,4.118,2.4042,0.5105,0.4877,0.9897,0.7679,1.093,0.8093,1.1383,9.553,0.6279,1.0089,0.963,1.2108,0.8984,0.5676,1.218,1.3271,0.9171,1.3753,0.879,1.0637,0.5624,0.8244,0.7005,1.0791,0.5236,1.4038,2.5714,1.7494,0.8888,0.3666,1.6843,0.4328,0.8407,0.4886,1.5597,0.7077,0.3599,0.7849,0.685,1.5525,1.9874,0.9846,2.4256,0.455,1.6787
(N(1) + N(8))-acetylspermidine,Amino Acid,Polyamine Metabolism,57814,LC/MS Pos Early,100016038,3080,188.1757,,,,,1.4747,0.9647,1.3866,1.0004,0.7213,0.8706,0.9645,1,0.4754,1.0908,0.9545,1.4209,1.3474,1.0316,0.7935,0.7572,0.8171,0.7125,1.3609,0.9605,0.8978,0.8711,0.7973,0.8522,1.4022,1.1957,0.7801,0.8117,1.1781,0.8471,0.8958,1.0677,1.0449,1.6447,1.1258,1.2537,1.115,0.9143,1.0554,1.3596,0.8031,0.8179,0.7986,1.3872,0.8312,0.9399,0.5623,0.7578,0.9786,1.2668,0.8338,0.6682,0.5473,1.0188,0.9951,1.6244,1.2236,0.6759,1.6811,1.7686,1.4679,1,1.0567,1.0231,0.9257,1.1777,1.006,1.4628,1.1833,0.5647,1.0334,1.218,1.0774,1.006,0.7208,0.9412,1.0119,1.8454,0.9813,1.3039,0.699,1.0377,0.7182,1.4503,1.1093,1.0412,1.3117,1,0.6757,0.648,1.0162,0.9911,0.8298,1.0638,0.8037,1.1794,0.7612,1.0565,0.9934,1.6445,0.8123,1.143,1.0784,0.8771,1.1155,0.6508,0.9238,0.6768,1.0713,1.0686,1.1204,1.2554,1.0659,0.8139,1.2534,0.7087,1.4366,1.3114,0.7838,1.4832,0.9228,0.7565,1.0719,1.1777,1.3496,0.8262,0.8861,1.0414,1.3419,1.1667,1.6185,1.2736,0.9455,1.8806,0.5679,1.0396,1.3847,3.1428,0.6979,0.9748,1.1924,1.1336,0.7132,1.2275,0.7874,1.0418,0.9245,0.6897,1.4178,0.6136,0.9261,0.9806,0.9101,1.1603,0.8333,0.923,1.4519,1.5939,0.8407,0.9299,1.2208,1.1721,1.0129,1.2822,0.5627,0.6743,1.745,0.8235,0.933,0.6631,1.0973,1.2816,1.515,1.3012,0.9952,1.0379,0.8794,0.9024,0.6429,0.7296,1.3835,0.8062,0.7687,0.8626,0.8229,1.2181,0.8315,1.5977,1.0094,0.9457,1.2159,1.5197,1.5338,0.931,1.2211,1.1956,0.6995,0.8209,1.0179,0.8111,1.5666,0.968,0.9371,1.7046,1.2978,0.8838,0.7822,0.9105,0.9679,0.712,0.8629,0.9748,1.0566,1.2058,0.8911,1.0483,1.4872,0.8856,0.9552,0.9849
(R)-3-hydroxybutyrylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",43264,LC/MS Pos Early,100003926,2400,248.1493,53481617,,,HMDB13127,10.5136,7.102,2.8882,0.7173,2.206,0.4773,0.2669,1.6072,4.3233,0.5005,1.3389,0.8537,2.1778,0.579,0.8403,0.5487,0.4746,0.69,1.9196,1.0595,2.4895,0.8253,0.9026,0.8003,11.7676,0.7608,0.9093,0.3398,3.2004,0.8616,0.9998,0.8522,0.6273,0.4782,0.7814,2.9745,0.8904,0.6264,1.3043,0.4549,1.655,0.5903,1.9955,0.5206,1.1858,2.8447,2.1963,2.154,0.4752,0.9966,0.4362,2.6387,0.3535,0.3734,0.5095,1.7091,1.196,0.7184,3.4374,0.4602,1.4021,4.1296,0.3566,0.2373,1.4088,0.5502,0.7163,1.5322,0.6168,1.3699,0.8184,0.7756,1.4273,0.9658,0.625,1.3472,0.5275,2.9446,1.0335,1.9414,1.7159,0.2492,0.6985,1.2385,0.7988,0.2411,2.2638,2.4963,1.8918,0.9287,0.5811,0.5136,2.9399,0.5825,0.8715,0.27,1.4723,0.8764,0.5889,2.3993,1.1739,0.5848,0.8715,0.7522,0.613,1.67,1.687,0.6283,4.0162,0.1801,3.9548,1.0454,1.404,0.46,0.6394,1.7939,0.3656,5.9264,1.8808,2.7898,1.9517,0.7642,1,1.1562,1.3511,2.4044,0.484,0.6594,0.6363,0.5202,0.106,1.4015,0.5662,1.3421,1.1673,1.072,0.6741,1.6522,1.1104,1.4131,1.9985,0.7534,2.3264,0.3907,3.057,1.9137,3.2461,0.6129,0.7724,1.0145,0.106,1.203,0.2661,0.4802,0.6351,0.5668,0.9087,1.4659,0.8338,1.0354,6.8006,0.834,0.7516,1.2633,2.2567,0.8454,0.7028,4.8659,0.484,0.4554,4.0238,0.4267,2.1803,2.4092,3.9237,0.7747,2.0108,0.7405,1.8608,0.8512,0.868,1.5135,3.4273,0.624,1.0921,0.7801,17.729,1.2205,5.4636,1.2094,3.6494,0.7462,1.5706,1.4177,1.5156,1.0087,0.4818,0.8727,0.5593,1.7435,9.7301,1.031,0.8865,1.2353,0.3484,1.5682,3.7078,1.3394,0.1866,1.4344,0.5172,2.3707,2.0382,2.2313,0.8841,1.7756,0.6675,0.6466,0.7866,1.0002
(S)-3-hydroxybutyrylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",52984,LC/MS Pos Early,100009271,2340,248.1493,,,,,5.5925,2.9171,1.5949,2.262,1.6459,0.7597,0.3665,1.319,5.0573,0.9898,1.3588,1.2918,0.7457,0.6655,0.7477,0.3881,0.7863,0.7371,0.8285,0.8441,1.6391,1.1804,1.4747,0.7298,10.7643,1.0561,0.5154,0.336,3.2754,0.6262,1.1814,0.8495,1.0859,0.6571,1.9869,1.3884,0.8783,0.676,1.0733,0.6936,1.2858,3.1666,3.1046,0.5752,0.8802,3.8143,1.9022,0.9863,0.538,0.6674,0.5748,1.9938,0.4614,0.5259,0.7755,1.7942,0.9335,0.6331,2.2832,0.7482,1.0017,2.1638,0.8223,0.4953,1.5399,0.5557,0.7683,1.1574,0.5573,0.7933,0.7914,0.919,4.4569,1.5121,0.4393,1.2351,0.6051,3.6522,1.0444,1.6412,1.2884,0.5091,0.9722,1.1907,0.9843,0.3728,1.6792,2.3505,1.3716,1.8974,0.6694,1.1292,1.4386,0.5403,0.7403,0.5736,1.039,0.7991,0.4485,4.0626,1.2639,0.7479,1.095,0.6631,0.6216,1.7329,1.1988,0.6535,4.0797,0.6851,2.1556,1.4912,1,0.5878,1.0461,0.8852,0.5799,1.8528,1.5786,3.3935,2.2051,0.4553,1.0316,0.9057,0.746,2.0355,0.425,0.9351,1.54,0.5954,0.2296,1.7512,0.6695,1.0694,0.9549,0.9817,1.2344,2.5225,0.7116,1.3168,1.2246,0.8853,2.7342,1.6446,1.9663,1.38,1.4894,0.6737,0.7294,0.8435,1.2288,0.8012,0.6531,2.7355,0.4951,1.0333,0.9803,1.3007,1,1.0798,5.7623,0.8779,0.7703,2.9727,0.7829,1.201,0.7095,1.2637,0.5693,1.1527,2.037,0.5398,2.0762,1.7161,2.0657,0.9055,1.4181,0.7122,0.8584,0.7347,0.8824,0.9744,4.4467,1.0024,1.1473,0.6366,3.2832,1.6391,1.8065,1.4039,1.283,0.9753,4.946,1.115,0.7564,0.8968,0.7568,0.9678,0.8415,1.6905,2.2848,0.9404,0.6292,1.1556,0.8221,1.828,2.2333,0.9925,0.6654,1.0993,0.5128,1.7336,1.3461,1.7206,0.6933,1.3228,0.8981,0.6124,0.412,0.7895
