"","cluster","names"
"1",1,"1046"
"2",2,"1006"
"3",1,"1076"
"4",3,"1008"
"5",2,"1050"
"6",1,"1056"
"7",2,"1028"
"8",2,"2085"
"9",3,"1135"
"10",3,"1124"
"11",3,"1149"
"12",3,"1088"
"13",2,"1115"
"14",2,"1164"
"15",2,"1165"
"16",3,"1106"
"17",3,"2023"
"18",1,"1155"
"19",3,"1157"
"20",3,"1094"
"21",1,"1182"
"22",2,"1185"
"23",1,"1210"
"24",2,"1218"
"25",3,"1257"
"26",3,"1225"
"27",3,"1249"
"28",2,"1261"
"29",2,"1214"
"30",2,"1203"
"31",2,"1267"
"32",3,"1281"
"33",2,"1317"
"34",3,"1284"
"35",2,"1346"
"36",3,"1370"
"37",1,"1299"
"38",3,"1347"
"39",3,"1372"
"40",3,"1313"
"41",1,"1455"
"42",2,"1456"
"43",2,"1473"
"44",3,"1536"
"45",2,"1475"
"46",2,"1529"
"47",3,"1553"
"48",1,"1554"
"49",3,"1029"
"50",2,"1557"
"51",2,"1509"
"52",3,"1534"
"53",2,"1515"
"54",2,"1644"
"55",3,"1578"
"56",1,"1639"
"57",1,"2097"
"58",2,"1744"
"59",3,"1778"
"60",2,"1808"
"61",2,"1862"
"62",2,"1875"
"63",2,"1877"
"64",2,"1842"
"65",2,"1833"
"66",2,"1977"
"67",1,"1917"
"68",3,"1920"
"69",3,"1985"
"70",2,"2036"
"71",3,"2063"
"72",2,"1114"
"73",1,"1129"
"74",2,"2066"
"75",1,"2019"
"76",2,"1500"
"77",3,"1797"
"78",2,"1463"
"79",2,"1331"
"80",3,"1416"
"81",1,"1196"
"82",2,"1466"
"83",3,"1193"
"84",2,"1469"
"85",3,"1461"
"86",3,"1011"
"87",1,"1123"
"88",2,"1316"
"89",3,"1067"
"90",2,"1626"
"91",2,"1192"
"92",3,"1989"
"93",2,"1866"
"94",1,"1976"
"95",1,"1903"
"96",2,"1695"
"97",1,"1990"
